Land;Reisende;time;whr;bevölkerung;reisen/person;;;;;
Deutschland;267,9;2018;71,18;83.019.200;3,227;;;;;
Frankreich;220,2;2018;65,90;67.028.000;3,285;;;;;
Vereinigtes Königreich;159,41;2018;72,33;66.647.100;2,392;;;;;
Spanien;156,4;2018;65,13;46.934.600;3,332;;;;;
Italien;68,2;2018;65,17;60.359.500;1,130;;;;;
Polen;60,5;2018;61,11;37.972.800;1,593;;;;;
Schweden;54,5;2018;73,75;10.230.200;5,327;;;;;
Niederlande;44,6;2018;74,63;17.282.200;2,581;;;;;
Finnland;38,6;2018;78,58;5.517.900;6,995;;;;;
Tschechien;34,6;2018;70,34;10.649.800;3,249;;;;;
Norwegen;27,1;2018;74,44;5.296.000;5,117;;;;;
Österreich;24,4;2018;73,96;8.858.800;2,754;;;;;
Schweiz;21,9;2018;75,09;8.542.300;2,564;;;;;
Ungarn;19,2;2018;59,36;9.772.800;1,965;;;;;
Dänemark;18,8;2018;76,49;5.806.100;3,238;;;;;
Rumänien;18,4;2018;61,51;19.401.700;0,948;;;;;
Portugal;18,3;2018;59,20;10.276.600;1,781;;;;;
Belgien;16,9;2018;68,92;11.467.900;1,474;;;;;
Irland;15,9;2018;69,62;4.904.200;3,242;;;;;
Slowakei;12,4;2018;62,35;5.450.400;2,275;;;;;
Griechenland;6,6;2018;54,09;10.722.300;0,616;;;;;
Estland;6,5;2018;60,91;1.324.800;4,906;;;;;
Kroatien;5,3;2018;55,36;4.076.200;1,300;;;;;
Slowenien;5,2;2018;62,49;2.080.900;2,499;;;;;
Bulgarien;5,1;2018;50,99;7.000.000;0,729;;;;;
Litauen;4,9;2018;63,09;2.794.200;1,754;;;;;
Lettland;4;2018;59,01;1.920.000;2,083;;;;;
Zypern;3;2018;62,76;875.900;3,425;;;;;
Luxemburg;2,6;2018;72,43;613.900;4,235;;;;;
Malta;0,9;2018;69,10;493.600;1,823;;;;;
;;;;;;;;;;
