Land;expenditure;stays
Österreich;118,00;3,2
Belgien;61,00;3,3
Bulgarien;34,00;3,9
Kroatien;34,00;5,6
Zypern;53,00;2,4
Tschechien;22,00;3,7
Dänemark;91,00;3,2
Estland;69,00;1,9
Finnland;71,00;2,8
Frankreich;61,00;4,6
Deutschland;92,00;3,7
Griechenland;30,00;10,6
Ungarn;28,00;3,1
Irland;81,00;2,4
Italien;64,00;5,1
Lettland;24,00;2,3
Litauen;28,00;2,6
Luxemburg;100,00;2,8
Malta;64,00;2,6
Niederlande;38,00;4,1
Polen;31,00;4,7
Portugal;38,00;3,6
Rumänien;41,00;3,7
Slowakei;42,00;3,6
Slowenien;47,00;2,7
Spanien;53,00;3,7
Schweden;96,00;3,3
Norwegen;103,00;3,3
Schweiz;94,00;3,9
